"Name","RunTime","Rating","Votes"
"Voyage au Congo (1927)","1h 57min",7.4,37
"A Wanderer of the West (1927)","1h",NA,NA
"Wandering Girls (1927)","58min",NA,NA
"Wanted: A Coward (1927)","1h",NA,NA
"We're All Gamblers (1927)","1h 10min",NA,NA
"Die Weber (1927)","1h 33min",7.2,71
"What Every Girl Should Know (1927)","1h 10min",NA,NA
"When a Man Loves (1927)","1h 51min",6.9,315
"The Whirlwind of Youth (1927)","1h",NA,NA
"White Flannels (1927)","1h 10min",NA,NA
"White Gold (1927)","1h 13min",6.7,71
"Wild Beauty (1927)","1h 5min",5.7,9
"Wild Geese (1927)","1h 10min",5,5
"Winds of the Pampas (1927)","1h",NA,NA
"Wings (1927)","PG",7.5,11640
"Winners of the Wilderness (1927)","1h 8min",3.1,105
"The Wise Wife (1927)","1h",NA,NA
"The Wizard (1927)","1h",7.3,29
"Wolf's Clothing (1927)","1h 20min",NA,NA
"Wolves of the Air (1927)","1h",NA,NA
"The Woman on Trial (1927)","1h",NA,NA
"The Woman Who Did Not Care (1927)","1h",NA,NA
"Women's Wares (1927)","1h",7.6,7
"Women Love Diamonds (1927)","1h 10min",6.9,8
"The World at Her Feet (1927)","1h",NA,NA
"The Wreck of the Hesperus (1927)","1h 10min",NA,NA
"The Wrong Mr. Wright (1927)","1h 10min",NA,NA
"The Yankee Clipper (1927)","1h 28min",7.1,84
"Zange no yaiba (1927)","1h 10min",7.1,35
"Alias the Deacon (1927)","1h 10min",5.8,12
"Die Apachen von Paris (1927)","1h 52min",NA,NA
"Dva druga model i podruga (1927)","1h",6.6,11
"Her Wild Oat (1927)","1h 10min",7.4,39
"Hot Heels (1927)","1h",5.5,6
"Kraft og skønhed (1927)","2h 3min",NA,NA
"Love Me and the World Is Mine (1927)","1h",NA,NA
"Mother Machree (1927)","1h 15min",5.3,123
"Nuori luotsi (1927)","1h 17min",5.3,27
"Odinnadtsatyy (1927)","59min",6.9,272
"The Siren (1927)","58min",NA,NA
"Streets of Shanghai (1927)","1h",NA,NA
"That's My Daddy (1927)","1h",7.2,11
"The Way of All Flesh (1927)","1h 34min",6.5,132
"Zvenigora (1927)","1h 8min",7.1,850
"En rade (1927)","1h 32min",6.7,56
"S.V.D. - Soyuz velikogo dela (1927)","1h 16min",6.4,101
"The Devil's Masterpiece (1927)","59min",NA,NA
"Maria Pentagiotissa (1927)","1h 40min",6.2,14
"Tordenstenene (1927)","2h 29min",6.7,6
"Hell Hounds of the Plains (1927)","58min",6.9,9
"The Little Adventuress (1927)","1h 10min",NA,NA
"The Magic Garden (1927)","1h 10min",NA,NA
"Honeymoon Hate (1927)","1h",NA,NA
"Is Your Daughter Safe? (1927)","1h",6.8,5
"Legionnaires in Paris (1927)","1h",NA,NA
"La sirène des tropiques (1927)","1h 26min",6.3,229
"The Midnight Watch (1927)","1h",7.3,10
"Eine tolle Nacht (1927)","1h 10min",5.7,41
"Ei auta itku markkinoilla (1927)","1h 14min",NA,NA
"Elämän maantiellä (1927)","1h 23min",6.1,19
"Muurmanin pakolaiset (1927)","1h 22min",6.4,10
"Noidan kirot (1927)","1h 22min",6.4,125
"Villilintujen parissa (1927)","1h 19min",NA,NA
"No Control (1927)","1h",NA,NA
"Not for Publication (1927)","1h 10min",NA,NA
"Le chasseur de chez Maxim's (1927)","1h 54min",NA,NA
"Katerina Izmailova (1927)","1h 27min",NA,NA
"Une vie sans joie (1927)","1h 24min",6.3,132
"Eheferien (1927)","1h",NA,NA
"The Boxer from Shandong (1927)","1h 30min",NA,NA
"Sinews of Steel (1927)","1h",NA,NA
"La sentinella della patria (1927)","1h 8min",NA,NA
"Maiorul Mura (1927)","1h 12min",6.9,25
"Topsy and Eva (1927)","1h 20min",7.9,52
"Mata Hari die rote Tänzerin (1927)","1h 20min",NA,NA
"Krug (1927)","1h 7min",NA,NA
"Wedding Bill$ (1927)","1h",NA,NA
"White Pants Willie (1927)","1h 10min",NA,NA
"Die weisse Sklavin (1927)","1h 36min",8,5
"Wilful Youth (1927)","1h",NA,NA
"Benya Krik (1927)","1h 21min",6.6,40
"Your Wife and Mine (1927)","1h",NA,NA
"Zare (1927)","1h 12min",7.1,96
"Wang shi si xia (1927)","1h 40min",NA,NA
"Robinson Crusoe (1927)","1h 5min",6.1,44
"Le roman d'un jeune homme pauvre (1927)","1h 30min",NA,NA
"Le diable au coeur (1927)","2h",7,54
"Tingel Tangel (1927)","1h 31min",NA,NA
"The Battles of Coronel and Falkland Islands (1927)","1h 47min",7.3,69
"Belphégor (1927)","3h 32min",7.2,39
"The House of Marney (1927)","1h 13min",NA,NA
"Quinneys (1927)","1h 30min",NA,NA
"Pobeda zhenshchiny (1927)","1h 2min",NA,NA
"Die raffinierteste Frau Berlins (1927)","1h 27min",NA,NA
"Batalion (1927)","1h 18min",6.6,44
"Chuzhaya (1927)","1h 6min",NA,NA
"Chuzhoy pidzhak (1927)","1h 3min",NA,NA
"Amoki (1927)","1h 10min",7.5,13
"Bela (1927)","1h 23min",5.6,18
"Gaplangva (1927)","1h 10min",NA,NA
"Ibrahimi da Goderdzi (1927)","1h 5min",NA,NA
"Krazanas bude (1927)","1h 13min",6.5,8
"Maksim Maksimich (1927)","1h",5.9,9
"Mitka Petka da Chemberleni (1927)","1h",NA,NA
"Mtis kanoni (1927)","1h 10min",NA,NA
"Ori monadire (1927)","1h 15min",NA,NA
"Svejk v civilu (1927)","1h 30min",5.4,18
"Frate Francesco (1927)","1h 25min",NA,NA
"Milenky starého kriminálníka (1927)","1h 48min",7.1,43
"Le manoir de la peur (1927)","1h 10min",6.8,47
"The Luck of the Navy (1927)","1h 50min",NA,NA
"The Kid Stakes (1927)","1h 9min",6.9,49
"Was ist los im Zirkus Beely? (1927)","1h 25min",6.1,37
"Chuji Tabinikki Daisanbu Goyohen (1927)","1h 47min",7.2,77
"Bluzhdayushchie zvyozdy (1927)","1h 3min",NA,NA
"Die elf Teufel (1927)","1h 38min",6.7,52
"Environment (1927)","1h 4min",NA,NA
"The Rushing Tide (1927)","1h 12min",NA,NA
"Der Bettler vom Kölner Dom (1927)","1h 41min",6.4,90
"Mädchenhandel - Eine internationale Gefahr (1927)","1h 10min",NA,NA
"Die Geliebte des Gouverneurs (1927)","1h 26min",NA,NA
"Das Leben des Beethoven (1927)","1h 11min",6.5,8
"Grand Hotel...! (1927)","1h 21min",NA,NA
"Lucile (1927)","1h 15min",NA,NA
"Der Himmel auf Erden (1927)","1h 53min",6.8,25
"Der König der Mittelstürmer (1927)","1h 35min",5,26
"La revue des revues (1927)","1h 43min",5.9,119
"Motherland (1927)","1h 44min",NA,NA
"Hyakumanryô hibun: Dai ippen (1927)","2h 4min",NA,NA
"Zew morza (1927)","2h 6min",6.2,29
"Mogila nieznanego zolnierza (1927)","1h 15min",5.6,38
"Schumann (1927)","1h 33min",NA,NA
"Vom Reiche der sechs Punkte (1927)","1h 35min",6.8,20
